prompt_1,prompt_2,emo_1,emo_2,track_ids,emotional_alignment,progression,cohesion,diversity,overall_appeal,overall,rationale
Right now I'm hopeful,could you guide me toward feeling calm?,hopeful,calm,"['3ToiPAGNcj4IdvcuxPjHWo', '0Nhq2Vs6Xpn3KVPhbXys10', '6vHrOE7gCkufNOgTa9zktz', '2FCZlBfVNWH1oW9dUvsEgH', '0ENeEhTJ6l4Hi467XER9L8', '3Mb9Pqo2DLXEEiUwCP8jTz', '0jFmF62m4ApXqdbE0sy7BE']",4,4,4,3,4,3.8,"Tracks smoothly transition from hopeful to calm, maintaining a consistent style and tempo. Diversity could be improved with more varied artists."
I'm feeling lonely after a rough day.,,lonely,joyful,"['4fU2mSQkAhgEjz8Jqudfo1', '486bK8IXJs5dtsL0MThUXZ', '0nqvtR9JWgUykjJaVOCbJT', '1PrueZWZqKzq7NFjJ57liv', '17SP3gtIuzVcuMw91mBoDS', '12Ork5oHVqxTm14qhj7EEW', '64vZ2gT0gfGruTvHKrWUBh']",4,4,3,4,4,3.8,"Tracks start with melancholic tones, gradually shifting to uplifting music, aligning well with desired emotional transition. Some style variation might feel slightly jarring but maintains listener engagement."
Today was exhausting and I'm quite nostalgic.,I want to end up lonely.,nostalgic,lonely,"['0HazdqciEvWSSvrFJV8oAM', '5rI1cPhtUF6cl7SzaPrVzk', '0nqvtR9JWgUykjJaVOCbJT', '4fU2mSQkAhgEjz8Jqudfo1', '1jxaHzbJefjHM547sjq17f', '7Iifc605139GVTWoQOYBD8', '7L5FGfAiyY5n79eKSmAEzl']",3,4,3,4,3,3.4,"Tracks begin with nostalgia and transition to loneliness. Cohesion is slightly off due to varied styles. Diversity is good, appealing to broad tastes."
I'm feeling hopeful after a rough day.,,hopeful,grateful,"['0Nhq2Vs6Xpn3KVPhbXys10', '68gth13C8jBM5Mg2a3p6Bv', '2zUIViKCzgS0VrLqqqLpfj', '42UEPuZDpIYuH1E7qEj907', '64vZ2gT0gfGruTvHKrWUBh', '12Ork5oHVqxTm14qhj7EEW', '70ObniveZTUoiNMYknmR4Z']",4,4,3,4,4,3.8,"Tracks align well with transitioning from hopefulness to relaxation. Smooth progression, though some style jumps. Good artist variety, generally enjoyable."
Estoy calm.,Ayúdame a llegar a un estado más anxious.,calm,anxious,"['1r8PtoHnru1m7yU2isQhAx', '2p132CMDRBL3m7M52NV2o5', '6lC8Sx9NCK9WatgjMujjZk', '6CvTbrBxxc5jFwqsivhpxh', '5TyOyb5VT5dPs4iaOAbpYR', '7lfsNE58NH1YFrP9oWAxzH', '24XOh3D1uwEmmeYal0EKci']",2,3,3,4,3,3.0,"Tracks transition from calm to anxious, but some are too abrupt in energy shifts. Diverse artists, generally enjoyable but some mismatch in style."
I'm sad.,Help me reach a more confident mood.,sad,confident,"['4ssEGWKCcdvk4wXzOpXEAo', '6pF8BpsLMONgSqR9Un9Og3', '7oQorm6nSrEZqzhiN8KwZ1', '5bzinIpUzdm3UpMqfLjkeU', '05Gf6nskkTPYQY2RCAUFYn', '6FMUO0qi4hOKxbPsfowpfY', '0fIGTc6TTvWDsonf4FTyFM']",4,4,3,4,4,3.8,"Tracks transition from melancholic to uplifting, aligning with desired mood change. Cohesion slightly off due to some abrupt tempo shifts. Good artist variety, generally enjoyable."
Ahora mismo estoy nostalgic,¿puedes llevarme a sentirme hopeful?,nostalgic,hopeful,"['0J03lAiDMN7y57be6wHiQU', '1RLCZiG5XWTVbq178QNdqT', '1RGeJTdbE34BkC4cgn1uNQ', '4mrR64jwacrmiZluhBelDB', '1xKvqCW23F1dwBvi5neKBf', '0jFmF62m4ApXqdbE0sy7BE', '3jWin6XB5HM7LRY8smsjNI']",4,4,3,4,4,3.8,Tracks transition well from nostalgic to hopeful. Cohesion slightly off due to varied styles. Good artist diversity and overall enjoyable.
Currently lonely.,My goal is to feel motivated on my way home.,lonely,motivated,"['2tzOABQrMoXPFb34uNtuwj', '486bK8IXJs5dtsL0MThUXZ', '0vHLfFCmIpP34eAbiDEjyR', '1s65HRPwZtSG5dBIBZ0dix', '7K8FQJivsq0IeUBVOqGbKB', '3brWqJXCbUema3tJcOQh5a', '3JS6dKB1zFIc7pVMDtZQhN']",4,4,3,4,4,3.8,"Tracks transition well from lonely to motivated, maintaining a smooth progression. Cohesion slightly varies in style. Good artist diversity, appealing selection."
Right now I'm calm,could you guide me toward feeling joyful?,calm,joyful,"['2zfidR8QEnYmExpm88sJ1C', '6JXfyGXfYil8SpDOeIU2Ed', '2pSdhYpnPUfQ1QsPVdemZp', '4A07SzGlzCUb6X3qi9RN3p', '4WV7Uxn76zpI5XHMITCB3N', '72EwKZahuf6RJrDDFp6REa', '3uz0oJpuhXnQ1KwciBbpNR']",4,4,3,4,4,3.8,"Tracks transition from calm to joyful effectively, maintaining a good flow. Some style variations might be slightly jarring, but overall, the playlist is engaging and enjoyable."
Currently motivated.,My goal is to feel frustrated on my way home.,motivated,frustrated,"['0FCPoULJJPlMwTY50apSyv', '1r8PtoHnru1m7yU2isQhAx', '7Gw93IJtLR0YN4XpX67D8U', '37sQb5IoJsL0ApVorkYJUD', '07BsfUDPTWpaGqx4ilgV4l', '5dowqkY18nlVDfSmkIM24v', '607lloe4XOrsGXSMOg2X1p']",1,1,2,3,1,1.6,"Transition from motivated to frustrated is unusual and not well supported. Some tracks align poorly with either emotion. Diversity is moderate, but overall appeal is low due to odd emotional journey."
