prompt_1,prompt_2,emo_1,emo_2,track_ids,emotional_alignment,progression,cohesion,diversity,overall_appeal,overall,rationale
Currently nostalgic.,My goal is to feel frustrated on my way home.,nostalgic,frustrated,"['2mHFFFMX87sjIislelhuKd', '0oG8ldcaN9vQIk2TMLmloS', '2kJVEHb4eL5BeZfa6mhTB6', '0Wub3XXznQVDcNGZ9Ek8Kv', '5dowqkY18nlVDfSmkIM24v', '07BsfUDPTWpaGqx4ilgV4l', '607lloe4XOrsGXSMOg2X1p']",1,2,2,3,1,1.8,"Transition from nostalgic to frustrated is unusual and not well supported. Some tracks fit, but overall journey feels disjointed and forced. Diversity is moderate."
I'm feeling grateful after a rough day.,,grateful,frustrated,"['77Ju3Cky6yTNG2AFshGdZs', '07bUsAiB39iXgB0Ac0b0L5', '1ROlE0TfZXEWxUsDo27mI3', '0nLmAD3Jb9bHDCbqmJ52Gg', '33rMVRu0uToCka8Tukt1Ym', '64vZ2gT0gfGruTvHKrWUBh', '12Ork5oHVqxTm14qhj7EEW']",4,4,3,4,4,3.8,"Tracks align well with gratitude and relaxation, progressing smoothly. Some style jumps but diverse artists maintain engagement. Enjoyable for most."
Currently anxious.,My goal is to feel lonely on my way home.,anxious,lonely,"['2BO1qVmKiyexwF9GebuggI', '0NOGzSRq9M2GperYc06hBq', '6fqFmBGToeTdV96VjsF2PF', '0kCHiOzi5DJwx6AWgfeLKZ', '434htmh7jrV2jPVK8mtwC3', '0gb8uIauOBg5gslQFdS8Fj', '6o8BKeLxLSuUTiZxyOHA87']",2,3,3,4,3,3.0,"Starts with high-energy tracks, not ideal for anxiety. Gradual transition to loneliness is somewhat smooth. Diverse artists, but abrupt genre shifts affect cohesion."
I'm hopeful.,Help me reach a more anxious mood.,hopeful,anxious,"['0Nhq2Vs6Xpn3KVPhbXys10', '5Lli3VgydVEtXrueefq9Vj', '6kzXwseQGXp3Qj1Z4LE7a8', '0ZODh9hRWsFktyBT6SuttX', '6Ud9QquYyS33TK3OYKwPmZ', '2mZlz3lflR0fn0eH4w50wz', '6fqFmBGToeTdV96VjsF2PF']",2,3,3,4,2,2.8,"Progression from hopeful to anxious is somewhat abrupt. Diversity is good, but emotional alignment and overall appeal are weak, making the transition feel forced."
Right now I'm motivated,could you guide me toward feeling grateful?,motivated,grateful,"['1oTOTgdSnDJpqZQ5plmfHy', '3wqRuLTeONBixfV37b23O1', '1jm21WPqN59BAx8LHkpm6D', '5Z6vLPtKVaWTSH3OIHM235', '1efZiQbrOB7j0S5Rt77cDb', '2yuRw2sCh2cCyzzv8fEFO9', '4u1yIfUAhI93pnu1wOgNrN']",4,4,3,4,4,3.8,"Tracks transition well from motivated to grateful, maintaining a smooth emotional journey. Some style variations, but overall cohesive and engaging."
Today was exhausting and I'm quite hopeful.,I want to end up joyful.,hopeful,joyful,"['5gpBDwutKLPPuh2Yzwt2Eh', '0WqHfOb9inmZ8z90gS4RhZ', '0Nhq2Vs6Xpn3KVPhbXys10', '3N3L0iC9NfyFCwd2pT3UNR', '6S6dSWpaYawQNSZi38wqtB', '7oeJtWREh7o5Smqc4zIbDF', '3yxK0vLErBXrCo5FwxtN4k']",4,4,3,4,4,3.8,"Tracks transition well from hopeful to joyful, maintaining a smooth emotional journey. Cohesion slightly off due to some abrupt tempo changes. Good artist diversity."
Estoy anxious.,Ayúdame a llegar a un estado más nostalgic.,anxious,nostalgic,"['5bK3OnFGve8wxgYNO1Mji3', '7AAvoPBlOEF9PXH1NmjPol', '6CvTbrBxxc5jFwqsivhpxh', '3vPeec1iyTNZ6TGcccNU4Z', '1OrLetKIo0lTl8YYnaa2kk', '2ZNTPtYmAhN9vCwnAgqKn1', '0J03lAiDMN7y57be6wHiQU']",3,4,4,3,4,3.6,"Tracks transition from anxious to nostalgic effectively, though some tracks could align better. Cohesive style, diverse artists, generally enjoyable."
Today was exhausting and I'm quite grateful.,I want to end up sad.,grateful,sad,"['07bUsAiB39iXgB0Ac0b0L5', '7zWz1fO0KgAro2aTCaJRIW', '4A0IWubd7pVbtfQVL5Zw7V', '05XNhXc8OErWjOajl5MEfs', '48T5Phhnd3AyxeNRq48SyW', '7baZG24FVLXytqd4ut2PZO', '6JMnqXVev0UcD5HLTgdq4C']",1,2,3,4,2,2.4,"Transition from gratitude to sadness is abrupt and poorly aligned. Some cohesion in style, decent diversity. Overall appeal limited by jarring emotional journey."
I'm calm.,Help me reach a more hopeful mood.,calm,hopeful,"['2zfidR8QEnYmExpm88sJ1C', '5Ov4caTPkHL91PwwZEkF6j', '0GlqdnRUcT33CkNw6NzPT1', '0ZODh9hRWsFktyBT6SuttX', '51MO9z6KTEe4eEfQpyqIcK', '5Lli3VgydVEtXrueefq9Vj', '1M6QHgtQLn88B3JsTTxV8A']",4,4,3,4,4,3.8,"Tracks start calm and gradually build hope, fitting the emotional journey. Cohesion slightly off due to some abrupt style changes. Good artist diversity and overall enjoyable."
I'm feeling lonely after a rough day.,,lonely,grateful,"['486bK8IXJs5dtsL0MThUXZ', '4fU2mSQkAhgEjz8Jqudfo1', '0nqvtR9JWgUykjJaVOCbJT', '5jwkjITXkUGIpuWLTBOzDm', '64vZ2gT0gfGruTvHKrWUBh', '12Ork5oHVqxTm14qhj7EEW', '33rMVRu0uToCka8Tukt1Ym']",4,4,3,3,4,3.6,"Tracks transition well from loneliness to upliftment. Cohesion and diversity are moderate, with some stylistic jumps. Overall, a pleasant and engaging journey."
I'm overwhelmed.,Help me reach a more motivated mood.,overwhelmed,motivated,"['5VHcXeuY3UKtr98xo3sTOI', '1tVrxVVCZNHLHcVG47vbgC', '3ZK9gJ8x3fTPFLziQgYAHP', '0ZODh9hRWsFktyBT6SuttX', '05Gf6nskkTPYQY2RCAUFYn', '3v1FPBfBPWPh1cXUJQut5V', '0fIGTc6TTvWDsonf4FTyFM']",4,4,3,4,4,3.8,"Tracks transition well from overwhelmed to motivated, maintaining a smooth emotional journey. Some style variations might feel slightly jarring, but overall, the playlist is engaging and diverse."
Ha sido agotador y estoy bastante confident.,Quiero terminar anxious.,confident,anxious,"['33d7TdFUh3IPbIWha9tnlN', '61qccft70irnFRDPHkxyyW', '4doeZ0Lf1g42qGUa4fguIX', '7pB5JbfighjA3QJFMkG8zY', '6CvTbrBxxc5jFwqsivhpxh', '6fqFmBGToeTdV96VjsF2PF', '24XOh3D1uwEmmeYal0EKci']",1,2,2,4,2,2.2,"Transition from confident to anxious is unclear, with some tracks fitting neither emotion. Diversity is good, but emotional journey and cohesion are weak."
Estoy sad.,Ayúdame a llegar a un estado más motivated.,sad,motivated,"['4ssEGWKCcdvk4wXzOpXEAo', '6pF8BpsLMONgSqR9Un9Og3', '5eBxac0b8FPViBqERr4Ujq', '0J03lAiDMN7y57be6wHiQU', '64vZ2gT0gfGruTvHKrWUBh', '0p39gXSTqRu0QhOt3OpVqx', '2xkX2Pk76eB7bGQ3uWOAmU']",4,4,3,4,4,3.8,"Tracks transition well from sad to motivated, maintaining a smooth emotional journey. Some style variation, but overall engaging and diverse."
Right now I'm motivated,could you guide me toward feeling hopeful?,motivated,hopeful,"['1oTOTgdSnDJpqZQ5plmfHy', '3wqRuLTeONBixfV37b23O1', '4t8Q2xAsT1QwlOYWal7EMl', '0AuM6Fku5nWZ0CM21YEzty', '0VPXoow1nODhfTFEZAg5oI', '0yJQHWzp27NwwZo2Cbp1Xg', '0ENeEhTJ6l4Hi467XER9L8']",4,4,3,4,4,3.8,"Tracks transition well from motivated to hopeful, maintaining energy while shifting mood. Some style variations, but overall engaging and smooth."
Right now I'm frustrated,could you guide me toward feeling confident?,frustrated,confident,"['6Op2gmDbZbx99IGX0TqCi7', '5P7oEMQwgGTcGXlJpZNuFF', '2R1xfdX1Wiw3XeRpCky9RX', '63FdSSYHo5cUlAGHDsCaoT', '1xKvqCW23F1dwBvi5neKBf', '2FCZlBfVNWH1oW9dUvsEgH', '0S6CXA5LpRDX6b4akgrOot']",4,4,3,4,4,3.8,"Tracks transition from frustration to confidence well, with a smooth emotional journey. Cohesion slightly off due to some style jumps. Good artist variety."
Right now I'm confident,could you guide me toward feeling overwhelmed?,confident,overwhelmed,"['5FzH97VguESmSKjjUAcif2', '2zkTehkNBWVQIGda4y729C', '0GlqdnRUcT33CkNw6NzPT1', '2FCZlBfVNWH1oW9dUvsEgH', '0D1kdslDXUSfwwXnrL0DJH', '1bX9T0lTsFybPfGiDgf4Qy', '6V2CtIy7PXE22dBnhQW4hZ']",2,3,2,4,2,2.6,"Transition from confident to overwhelmed is unusual and hard to achieve musically. Some tracks fit, but overall journey and cohesion are weak. Good artist diversity."
I'm feeling nostalgic after a rough day.,,nostalgic,confident,"['5pUDt2BjrwMw4Eeq9utiGX', '3zJvVVOrcnwe0shg068X4U', '4z0TWcbvbpr7QAcoof5lB3', '5jwkjITXkUGIpuWLTBOzDm', '5B5wuKJkdGEvVykq2x1M2I', '64vZ2gT0gfGruTvHKrWUBh', '12Ork5oHVqxTm14qhj7EEW']",4,4,3,3,4,3.6,"Tracks transition well from nostalgic to uplifting. Cohesion and diversity are moderate, with some style variations. Overall, a pleasant and engaging journey."
I'm feeling anxious after a rough day.,,anxious,overwhelmed,"['64ZjFdkEKsX2uRvXlYKXYe', '0pcafp3GO11hPVqIFXkp27', '7AAvoPBlOEF9PXH1NmjPol', '6CvTbrBxxc5jFwqsivhpxh', '64vZ2gT0gfGruTvHKrWUBh', '12Ork5oHVqxTm14qhj7EEW', '33rMVRu0uToCka8Tukt1Ym']",4,4,3,3,4,3.6,"Tracks transition from tense to calm, aligning well with moving from anxiety to relaxation. Cohesion and diversity are moderate, with some stylistic jumps but overall engaging variety."
I'm feeling lonely after a rough day.,,lonely,grateful,"['486bK8IXJs5dtsL0MThUXZ', '4fU2mSQkAhgEjz8Jqudfo1', '0nqvtR9JWgUykjJaVOCbJT', '5jwkjITXkUGIpuWLTBOzDm', '64vZ2gT0gfGruTvHKrWUBh', '12Ork5oHVqxTm14qhj7EEW', '33rMVRu0uToCka8Tukt1Ym']",4,4,3,3,4,3.6,"Tracks transition from melancholic to uplifting, fitting the emotional journey. Some style jumps, but diverse artists maintain engagement. Generally enjoyable."
I'm feeling frustrated after a rough day.,,frustrated,hopeful,"['6yjoLviIwT6onwNdzCQrm7', '5ci5B6xNix4wtY5NzxhUNs', '7gPPJVBJd194SWnnSOCYI1', '2FcZ01BxeSj5sg4MGL3S15', '64vZ2gT0gfGruTvHKrWUBh', '12Ork5oHVqxTm14qhj7EEW', '33rMVRu0uToCka8Tukt1Ym']",4,4,3,3,4,3.6,"Tracks start intense, gradually mellow, aligning with a transition from frustration to calm. Some style jumps, but overall smooth. Decent artist variety."
Today was exhausting and I'm quite joyful.,I want to end up sad.,joyful,sad,"['1QICld5r8JwCY8I3LHGWMf', '52M3cMLNFux0MkAPBd1tbg', '6quVCwPkb0kHT37BCG45HA', '5rI1cPhtUF6cl7SzaPrVzk', '6bmuqtWUFoaiCJCIIJjbmC', '7baZG24FVLXytqd4ut2PZO', '6JMnqXVev0UcD5HLTgdq4C']",2,3,3,4,3,3.0,"Tracks start joyful but transition to sadness is abrupt. Diverse artists, but emotional journey and cohesion could be smoother."
I'm feeling lonely after a rough day.,,lonely,anxious,"['486bK8IXJs5dtsL0MThUXZ', '4fU2mSQkAhgEjz8Jqudfo1', '0nqvtR9JWgUykjJaVOCbJT', '5jwkjITXkUGIpuWLTBOzDm', '64vZ2gT0gfGruTvHKrWUBh', '12Ork5oHVqxTm14qhj7EEW', '33rMVRu0uToCka8Tukt1Ym']",4,4,3,4,4,3.8,"Tracks start with somber tones, gradually uplift. Cohesion slightly off due to style shifts. Good artist variety, appealing selection for most listeners."
Ha sido agotador y estoy bastante frustrated.,Quiero terminar motivated.,frustrated,motivated,"['5ci5B6xNix4wtY5NzxhUNs', '09I8dLLckaLu2cPvKOLdMM', '0gsA86rITcTO1ID2OtFny8', '31EYM7iJC3FEADrfzA4bmD', '7h0GwG6pwHUeIcckPhe4Ch', '0J03lAiDMN7y57be6wHiQU', '1kyNsYoSXzMufyRrsLEvJi']",4,4,3,4,4,3.8,"Tracks transition from frustration to motivation with increasing energy and tempo. Some style variations may feel slightly jarring, but overall, the journey is engaging and diverse."
I'm frustrated.,Help me reach a more overwhelmed mood.,frustrated,overwhelmed,"['6Op2gmDbZbx99IGX0TqCi7', '5ci5B6xNix4wtY5NzxhUNs', '5P7oEMQwgGTcGXlJpZNuFF', '07BsfUDPTWpaGqx4ilgV4l', '4PQgxRWdk2GnjgpTYBNDaZ', '3v1FPBfBPWPh1cXUJQut5V', '12aXbGD3BAT2DqUaCxkMht']",0,0,0,0,0,0.0,"Transitioning from frustration to feeling more overwhelmed isn't therapeutic; playlist intent is unclear, making scoring impossible."
Ha sido agotador y estoy bastante overwhelmed.,Quiero terminar motivated.,overwhelmed,motivated,"['77zJHa3yBSbNETTnJf3m2s', '41yhjGuAlgfI5YNFr22WPE', '5Ro6XdO6Te5QmbSxEa6DGr', '7h0GwG6pwHUeIcckPhe4Ch', '0J03lAiDMN7y57be6wHiQU', '7bsozcT25hbK3ARxRsTlZG', '1kyNsYoSXzMufyRrsLEvJi']",4,4,3,4,4,3.8,"Tracks transition well from overwhelmed to motivated, with a gradual increase in energy. Some style variations might be slightly jarring but maintain engagement."
Me siento motivated después de un día duro.,,motivated,nostalgic,"['7f83B2iQ2kYYsMZTUJ1Ndl', '1r8PtoHnru1m7yU2isQhAx', '2Ec0liSMY2h4XORHyzKCmY', '64vZ2gT0gfGruTvHKrWUBh', '33rMVRu0uToCka8Tukt1Ym', '12Ork5oHVqxTm14qhj7EEW', '4heTMHTa78AretqLGlRdV8']",0,0,0,0,0,0.0,Desired emotion not provided; impossible to judge transition and alignment.
I'm feeling overwhelmed after a rough day.,,overwhelmed,calm,"['34Pub98D4GdddeECI2QFQk', '48T5Phhnd3AyxeNRq48SyW', '4z0TWcbvbpr7QAcoof5lB3', '5jwkjITXkUGIpuWLTBOzDm', '64vZ2gT0gfGruTvHKrWUBh', '12Ork5oHVqxTm14qhj7EEW', '33rMVRu0uToCka8Tukt1Ym']",4,4,3,4,4,3.8,"Tracks start with calming tones, gradually shift to more uplifting music. Cohesion slightly off due to style shifts. Good artist variety, enjoyable journey."
