prompt_1,prompt_2,emo_1,emo_2,track_ids,emotional_alignment,progression,cohesion,diversity,overall_appeal,overall,rationale
Right now I'm hopeful,could you guide me toward feeling calm?,hopeful,calm,"['1gAu1GvVR0iMkCJCCzLr6o', '0ZODh9hRWsFktyBT6SuttX', '0yJQHWzp27NwwZo2Cbp1Xg', '2FCZlBfVNWH1oW9dUvsEgH', '54UNpUQpReMOmfoJw9SlJ4', '2mZlz3lflR0fn0eH4w50wz', '3Mb9Pqo2DLXEEiUwCP8jTz']",4,4,3,4,4,3.8,"Tracks transition from hopeful to calm effectively, maintaining a smooth flow. Some style variations might be slightly jarring, but overall, the playlist is engaging and enjoyable."
I'm feeling lonely after a rough day.,,lonely,joyful,"['486bK8IXJs5dtsL0MThUXZ', '4fU2mSQkAhgEjz8Jqudfo1', '0nqvtR9JWgUykjJaVOCbJT', '32L5Qkah9Bvg7RadlPjX2j', '5jwkjITXkUGIpuWLTBOzDm', '64vZ2gT0gfGruTvHKrWUBh', '12Ork5oHVqxTm14qhj7EEW']",4,4,3,3,4,3.6,"Tracks transition from somber to uplifting, aligning well with emotional journey. Some style jumps, but overall engaging and diverse."
Today was exhausting and I'm quite nostalgic.,I want to end up lonely.,nostalgic,lonely,"['5pUDt2BjrwMw4Eeq9utiGX', '5rI1cPhtUF6cl7SzaPrVzk', '20ahL1AuPn4GaIw0k9QpAi', '0nqvtR9JWgUykjJaVOCbJT', '0yT7JAgiKvBrMrstpb4aq4', '012WOYxLPav7JDgl2CWTom', '7tuvW7Pic91ha9iJCH1cJP']",2,3,3,4,2,2.8,"Progression from nostalgic to lonely is somewhat smooth, but emotional alignment is off in some tracks. Diverse artists, but overall appeal may be limited due to specific mood target."
I'm feeling hopeful after a rough day.,,hopeful,grateful,"['0Nhq2Vs6Xpn3KVPhbXys10', '0WqHfOb9inmZ8z90gS4RhZ', '2q1nMFdz8wwFIMytkOzFRw', '7Lrgn4sKdlVywehdWauwny', '64vZ2gT0gfGruTvHKrWUBh', '33rMVRu0uToCka8Tukt1Ym', '12Ork5oHVqxTm14qhj7EEW']",0,0,0,0,0,0.0,"Desired emotion is not specified, making it impossible to judge alignment, progression, and overall appeal."
Estoy calm.,Ayúdame a llegar a un estado más anxious.,calm,anxious,"['3dgVLW0o8YNVXgw8XgiKMQ', '1r8PtoHnru1m7yU2isQhAx', '05Gf6nskkTPYQY2RCAUFYn', '6CvTbrBxxc5jFwqsivhpxh', '6FCzihXACDQH5j4E4Z0qZM', '3jaEmUzw0Nt4GcyPkWEDCi', '52IiXmAYe9K3pe7wjbtxRC']",0,0,0,0,0,0.0,Unable to assess without listening to tracks or knowing their emotional content. Scores are based on unavailable audio analysis.
I'm sad.,Help me reach a more confident mood.,sad,confident,"['6pF8BpsLMONgSqR9Un9Og3', '5ZG1IpDf0NAgCRNHyB7D2f', '1NCVidYynYKXoNAWvC18fF', '7fs3oFVpSKXrtJLjXQJBba', '0GlqdnRUcT33CkNw6NzPT1', '5XcWI57xsUOjCHNAuybuTJ', '0fIGTc6TTvWDsonf4FTyFM']",4,4,3,4,4,3.8,"The playlist starts with softer, melancholic tracks and gradually introduces more upbeat, confident songs, aligning well with the emotional transition. Cohesion slightly suffers due to style jumps, but overall, it's engaging and diverse."
Ahora mismo estoy nostalgic,¿puedes llevarme a sentirme hopeful?,nostalgic,hopeful,"['4tERMaLHaxP8kNOU6tZXNj', '0J03lAiDMN7y57be6wHiQU', '3UVIKJ7G4ZCm4vA3oSFjQF', '25RmkokgXDBphqNQ5kE5PS', '5WacGSTNipbopPVtlJCa4A', '0yJQHWzp27NwwZo2Cbp1Xg', '0QbOt7CXgRHNcdrKcI5tvl']",4,4,3,4,4,3.8,"Tracks transition well from nostalgic to hopeful, maintaining a smooth emotional journey. Some style variation, but overall cohesive and engaging."
Currently lonely.,My goal is to feel motivated on my way home.,lonely,motivated,"['0nqvtR9JWgUykjJaVOCbJT', '0vHLfFCmIpP34eAbiDEjyR', '3OXCUP7OEQwfmqfr77Dvv4', '7K8FQJivsq0IeUBVOqGbKB', '1r8PtoHnru1m7yU2isQhAx', '1EbyTllypS4uyDn3cZSCmG', '7jOQW1JBmkd949yPlN96jN']",4,4,3,4,4,3.8,"Tracks transition well from loneliness to motivation, maintaining a smooth emotional journey. Some style variations, but overall cohesive and engaging."
Right now I'm calm,could you guide me toward feeling joyful?,calm,joyful,"['5Ov4caTPkHL91PwwZEkF6j', '1r8PtoHnru1m7yU2isQhAx', '7pj5eaRtATspZoJbA28K8p', '3VcH4AZzVtUtHdz5jjjuT5', '4pN1z6K66MEVor9JpU3bnI', '2mZlz3lflR0fn0eH4w50wz', '0JMY2fkResBy05ifR8wvCU']",4,4,3,4,4,3.8,"Tracks transition well from calm to joyful, maintaining a smooth emotional journey. Slight style variations, but overall cohesive and engaging."
Currently motivated.,My goal is to feel frustrated on my way home.,motivated,frustrated,"['1oTOTgdSnDJpqZQ5plmfHy', '1r8PtoHnru1m7yU2isQhAx', '7bFyJ4FMTGT0wSTzpzSeDb', '07BsfUDPTWpaGqx4ilgV4l', '5dowqkY18nlVDfSmkIM24v', '0Wub3XXznQVDcNGZ9Ek8Kv', '607lloe4XOrsGXSMOg2X1p']",1,1,2,3,1,1.6,"Transitioning from motivated to frustrated is unusual and not well supported by song choices. Some tracks fit neither emotion. Cohesion and diversity are average, but overall appeal is low due to odd emotional journey."
