id,lyrics,embedding
478dzzsAq38BHdrR02mZHT,hey mama don t you treat me wrong come and love your daddy all night long all right now hey hey all right see the girl with the diamond ring she knows how to shake that thing all right now hey hey hey hey tell your mama tell your pa i m going to sing you back to arkansas oh yes ma am you don t do right don t do right when you see me in misery come on baby see about me now yeah all right what d i say see the girl with the red dress on she can do the birdland all night long yeah what d i say well tell me what d i say tell me what d i say right now tell me what d i say tell me what d i say right now tell me what d i say tell me what d i say and i wanna know baby i wanna know right now and a i wanna know and i wanna know right now yeah and a i wanna know said i wanna know yeah hey ho hey ho hey ho oh one more time say it one more time right now say it one more time now say it one more time yeah say it one more time say it one more time yeah hey ho hey ho hey ho ah make me feel so good make me feel so good now yeah woah baby make me feel so good yeah make me feel so good make me feel so good yeah  woah shake that thing now baby shake that thing now now baby shake that thing baby shake that thing right now baby shake that thing baby shake that thing ,"[-5.1049675941467285, -4.239972114562988, -5.443943500518799, -4.3105926513671875, -2.4429221153259277, -4.929746627807617, -4.93226432800293, -3.711723566055298, -5.209260940551758, -5.901560306549072, -5.029173851013184, -7.032292366027832, -7.219527244567871, -3.0302910804748535, -6.93336296081543, -8.604601860046387, -7.523106575012207, -1.7730863094329834, -3.080626964569092, -6.469323635101318, -5.7523369789123535, -6.875649929046631, -4.9587721824646, -5.792490482330322, -7.839505195617676, -6.088592052459717, -6.230706691741943]"
2374M0fQpWi3dLnB54qaLX,i hear the drums echoing tonight but she hears only whispers of some quiet conversation she s coming in 12 30 flight her moonlit wings reflect the stars that guide me towards salvation i stopped an old man along the way hoping to find some old forgotten words or ancient melodies he turned to me as if to say hurry boy it s waiting there for you it s gonna take a lot to drag me away from you there s nothing that a hundred men or more could ever do i bless the rains down in africa gonna take some time to do the things we never had the wild dogs cry out in the night as they grow restless longing for some solitary company i know that i must do what s right as sure as kilimanjaro rises like olympus above the serengeti i seek to cure what s deep inside frightened of this thing that i ve become it s gonna take a lot to drag me away from you there s nothing that a hundred men or more could ever do i bless the rains down in africa gonna take some time to do the things we never had hurry boy she s waiting there for you it s gonna take a lot to drag me away from you there s nothing that a hundred men or more could ever do i bless the rains down in africa i bless the rains down in africa i bless the rains down in africa i bless the rains down in africa i bless the rains down in africa gonna take some time to do the things we never had104,"[-5.169056415557861, -7.954351902008057, -6.53256368637085, -4.726689338684082, -1.971969723701477, -1.3689947128295898, -6.683737754821777, -6.821136474609375, -1.826468825340271, -5.009510040283203, -4.560825347900391, -6.3446431159973145, -7.423112392425537, -5.9932332038879395, -4.759013652801514, -5.374300003051758, -6.856621265411377, -6.562266826629639, -5.997483253479004, -5.437098026275635, -1.3601888418197632, -6.192298889160156, -4.229592323303223, -5.39811897277832, -6.332402229309082, -5.347020626068115, -7.537118911743164]"
71O1jD7bF3cdMPvPi186V6,well i came home like a stone and i fell heavy into your arms these days of dust which we ve known will blow away with this new sun but i ll kneel down wait for now and i ll kneel down know my ground and i will wait i will wait for you and i will wait i will wait for you so break my step and relent well you forgave and i won t forget know what we ve seen and him with less now in some way shake the excess cause i will wait i will wait for you and i will wait i will wait for you and i will wait i will wait for you and i will wait i will wait for you so i ll be bold as well as strong and use my head alongside my heart so tame my flesh and fix my eyes a tethered mind freed from the lies  but i ll kneel down wait for now i ll kneel down know my ground raise my hands paint my spirit gold and bow my head keep my heart slow cause i will wait i will wait for you and i will wait i will wait for you and i will wait i will wait for you and i will wait i will wait for you35,"[-5.194314479827881, -7.216267108917236, -6.312791347503662, -5.239307403564453, -1.6556626558303833, -2.4925894737243652, -7.453665256500244, -6.4766669273376465, -3.6729042530059814, -6.619370937347412, -6.271346569061279, -7.289021968841553, -8.3836030960083, -5.012205600738525, -7.018490791320801, -6.574917793273926, -7.886150360107422, -5.7799296379089355, -4.965696811676025, -7.628144264221191, -2.867220878601074, -6.804207801818848, -5.234914302825928, -6.374651908874512, -7.438917636871338, -6.655125141143799, -7.660632133483887]"
601913bnwOH19HblKXMr2d,i am an architect of days that haven t happened yet i can t believe a month is all it s been you know my paper heart the one i filled with pencil marks i think i might have gone and inked you in little by little inch by inch we built a yard with a garden in the middle of it and it ain t much but it s a start you got me swaying right along to the song of your heart and a face to call home a face to call home you got a face to call home so glad you didn t see the nervous wreck i used to be you d never know a man could feel so small and you never look at me like i m a liability i bet you think i ve never been at all little by little inch by inch we built a yard with a garden in the middle of it and it ain t much but it s a start you got me swaying right along to the song of your heart and a face to call home a face to call home you got a face to call home a face to call home a face to call home you got a face to call home maybe i could stay a while maybe i could stay a while maybe i could stay a while i m talking about all of the time maybe i could stay a while maybe i could stay a while maybe i could stay a while i m talking about all of the time  little by little inch by inch we built a yard with a garden in the middle of it and it ain t much but it s a start you got me swaying right along to the song of your heart and a face to call home a face to call home you got a face to call home home home home home home home home home5,"[-4.642791271209717, -4.864737033843994, -6.580410003662109, -4.347232341766357, -3.067782163619995, -5.382033824920654, -5.770875453948975, -7.332553863525391, -6.524403095245361, -5.241481304168701, -5.445420265197754, -6.878386497497559, -5.987865447998047, -3.5540249347686768, -6.059270858764648, -5.1778645515441895, -6.637009143829346, -0.9004205465316772, -6.7804341316223145, -5.335587024688721, -5.3982625007629395, -4.568326950073242, -2.679245948791504, -3.1477551460266113, -7.510303974151611, -5.947695255279541, -4.8474016189575195]"
4dGJf1SER1T6ooX46vwzRB,you know i like my chicken fried cold beer on a friday night a pair of jeans that fit just right and the radio up well i was raised up beneath the shade of a georgia pine and that s home you know sweet tea pecan pie and homemade wine where the peaches grow and my house it s not much to talk about but it s filled with love that s grown in southern ground and a little bit of chicken fried cold beer on a friday night a pair of jeans that fit just right and the radio up well i ve seen the sun rise see the love in my woman s eyes feel the touch of a precious child and know a mother s love it s funny how it s the little things in life that mean the most not where you live what you drive or the price tag on your clothes there s no dollar sign on a piece of mind this i ve come to know so if you agree have a drink with me raise your glasses for a toast to a little bit of chicken fried cold beer on a friday night a pair of jeans that fit just right and the radio up well i ve seen the sun rise see the love in my woman s eyes feel the touch of a precious child and know a mother s love  i thank god for my life and for the stars and stripes may freedom forever fly let it ring salute the ones who died the ones that give their lives so we don t have to sacrifice all the things we love like our chicken fried and cold beer on a friday night a pair of jeans that fit just right and the radio up well i ve seen the sun rise see the love in my woman s eyes feel the touch of a precious child and know a mother s love get your little chicken fried cold beer on a friday night a pair of jeans that fit just right and the radio up well i ve done seen the sun rise see the love in my woman s eyes feel the touch of a precious child and know a mother s love28,"[-2.5107288360595703, -1.7957350015640259, -6.23732328414917, -5.094829082489014, -1.934155821800232, -4.79964542388916, -6.454860687255859, -6.585935592651367, -5.252343654632568, -6.085328578948975, -5.810407638549805, -6.740086555480957, -7.040633201599121, -4.403656005859375, -7.622673988342285, -4.9627685546875, -7.429713726043701, -0.9658793807029724, 1.5409603118896484, -7.318367958068848, -4.0211710929870605, -6.2379279136657715, -4.365012168884277, -5.658067226409912, -6.692501068115234, -6.078243732452393, -6.502757549285889]"
3S0OXQeoh0w6AY8WQVckRW,well you done done me in you bet i felt it i tried to be chill but you re so hot that i melted i fell right through the cracks now i m trying to get back before the cool done run out i ll be giving it my bestest nothing s going to stop me but divine intervention i reckon it s again my turn to win some or learn some but i won t hesitate no more no more it cannot wait i m yours well open up your mind and see like me open up your plans and damn you re free look into your heart and you ll find love love love love listen to the music of the moment people dance and sing we re just one big family and it s our god forsaken right to be loved love love love loved so i won t hesitate no more no more it cannot wait i m sure there s no need to complicate our time is short this is our fate i m yours do you want to come on scootch on over closer dear and i will nibble your ear  i ve been spending way too long checking my tongue in the mirror and bending over backwards just to try to see it clearer but my breath fogged up the glass and so i drew a new face and i laughed i guess what i be saying is there ain t no better reason to rid yourself of vanities and just go with the seasons it s what we aim to do our name is our virtue but i won t hesitate no more no more it cannot wait i m yours well open up your mind and see like me open up your plans and damn you re free look into your heart and you ll find the sky is yours so please don t please don t please don t there s no need to complicate cause our time is short this oh this oh this is our fate i m yours134,"[-3.9700963497161865, -2.1209559440612793, -5.398642063140869, -4.445699691772461, -1.0768038034439087, -3.494357109069824, -6.66717529296875, -6.350831985473633, -4.54534387588501, -6.043038845062256, -4.8972392082214355, -6.871645927429199, -7.287946701049805, -4.3902153968811035, -7.207393169403076, -7.041423797607422, -7.562502384185791, -1.823704719543457, 0.49392205476760864, -7.142497539520264, -2.877549171447754, -6.458934307098389, -4.66254997253418, -5.937364101409912, -6.953561782836914, -6.246152400970459, -7.2854413986206055]"
3354J49VpkbZJho7Ztdzpw,i wish you would step back from that ledge my friend you could cut ties with all the lies that you ve been living in and if you do not want to see me again i would understand i would understand the angry boy a bit too insane icing over a secret pain you know you don t belong you re the first to fight you re way too loud you re the flash of light on a burial shroud i know something s wrong well everyone i know has got a reason to say put the past away i wish you would step back from that ledge my friend you could cut ties with all the lies that you ve been living in and if you do not want to see me again i would understand i would understand well he s on the table and he s gone to code and i do not think anyone knows what they re doing here and your friends have left you you ve been dismissed i never thought it would come to this and i i want you to know everyone s got to face down the demons maybe today you could put the past away i wish you would step back from that ledge my friend you could cut ties with all the lies that you ve been living in and if you do not want to see me again i would understand i would understand i would understand i would understand i would understand i would understand  can you put the past away i wish you would step back from that ledge my friend i would understand i wish you would step back from that ledge my friend i would understand i wish you would step back from that ledge my friend and i would understand i wish you would step back from that ledge my friend i would understand i wish you would step back from that ledge my friend and i would understand1,"[-6.1285176277160645, -6.237059593200684, -4.38552713394165, -2.744459629058838, -4.4367780685424805, -4.514639854431152, -6.081932067871094, -5.561868190765381, 0.8828884363174438, -3.2536258697509766, -4.26359224319458, -4.314658164978027, -6.415737628936768, -6.26157808303833, -5.8530192375183105, -6.827395915985107, -6.458208084106445, -6.542213439941406, -5.309584140777588, -6.137890338897705, -3.467888593673706, -7.2388691902160645, -4.550681114196777, -7.169818878173828, -5.631338596343994, -3.8337700366973877, -6.746695518493652]"
5kjyiH6but1t2UDXq15aeS,i got my toes in the water ass in the sand not a worry in the world a cold beer in my hand life is good today life is good today well the plane touched down just about three o clock and the city s still on my mind bikinis and palm trees danced in my head i was still in the baggage line concrete and cars are their own prison bars like this life i m living in but the plane brought me farther i m surrounded by water and i m not going back again i got my toes in the water ass in the sand not a worry in the world a cold beer in my hand life is good today life is good today adios and vaya con dios yeah i m leaving ga and if it weren t for tequila and pretty señoritas i d have no reason to stay adios and vaya con dios yeah i m leaving ga going to lay in the hot sun and roll a big fat one and grab my guitar and play  four days flew by like a drunk friday night as the summer drew to an end they can t believe that i just couldn t leave and i bid adieu to my friends cause my bartender she s from the islands her body s been kissed by the sun and coconut replaces the smell of the bar and i don t know if it s her or the rum i got my toes in the water ass in the sand not a worry in the world a cold beer in my hand life is good today life is good today adios and vaya con dios a long way from ga yes and all the muchachas they call me big papa when i throw pesos their way adios and vaya con dios a long way from ga someone do me a favor and pour me some jaeger and i ll grab my guitar and play adios and vaya con dios going home now to stay the señoritas don t care o when there s no dinero yeah i got no money to stay adios and vaya con dios going home now to stay i m just going to drive up by the lake and put my ass in a lawn chair toes in the clay not a worry in the world a pbr on the way life is good today life is good today10,"[-3.6155076026916504, -4.722838878631592, -6.138991832733154, -4.287598133087158, -1.4643640518188477, -4.499938011169434, -4.255180835723877, -5.88085412979126, -5.664039611816406, -4.843142986297607, -4.5933427810668945, -7.269261360168457, -6.812364101409912, -3.613565444946289, -6.830924987792969, -5.11917781829834, -6.572925567626953, 1.1328089237213135, -5.276532173156738, -5.29189395904541, -4.138620853424072, -4.7621612548828125, -3.662954330444336, -2.7240288257598877, -7.275466442108154, -5.408695697784424, -6.497601509094238]"
6Oi3mUl8WwfTVRqEwByZ7R,if i ever get around to living i m going to put my things away in the drawers and in the closets and there i ll stay stay if i ever get around to living it s going to be just like i dreamed i m going to take the love i m given and set it free free if i ever get around to living i ll take the end of every day tie it up to every morning and sail away away free free maybe it s all a dream i m having at seventeen i don t have tattoos and very soon mother will be calling me saying come upstairs you ve got some work to do when are you going to wise up boy when are you going to wise up boy when are you going to wise up boy when are you going to wise up boy you are hiding in your mind working all the time trying to make it better than you got it and you been spending all your time searching for a sign that s never going to look the way you want it  i think you better wise up boy i think you better wise up boy i think you better wise up boy i think you better wise up boy2,"[-5.71697998046875, -6.393427848815918, -5.38913106918335, -4.1262922286987305, -2.662770986557007, -1.7457275390625, -4.242856979370117, -2.1945338249206543, -4.415863990783691, -5.944056034088135, -5.3728532791137695, -7.104244232177734, -7.816503047943115, -5.61924409866333, -5.638509273529053, -8.325427055358887, -7.6692047119140625, -6.449540138244629, -6.061740875244141, -6.08785343170166, -1.2975404262542725, -7.672314643859863, -4.775934219360352, -6.907261371612549, -7.330166816711426, -6.577819347381592, -5.680381774902344]"
3RgR3cFZ6xh7MlB9DURK6e,did you know that you could be wrong and swear you re right some people been known to do it all their lives but you find yourself alone just like you found yourself before like i found myself in pieces on the hotel floor hard times help me see i m a good man with a good heart had a tough time got a rough start but i finally learned to let it go now i m right here and i m right now and i m hoping knowing somehow that my shadow days are over my shadow days are over now well i m no trouble maker and i never meant her harm but it doesn t mean i didn t make it hard to carry on well it sucks to be honest and it hurts to be real but it s nice to make some love that i can finally feel hard times let me be i m a good man with a good heart had a tough time got a rough start but i finally learned to let it go now i m right here and i m right now and i m hoping knowing somehow that my shadow days are over my shadow days are over now i m a good man with a good heart had a tough time got a rough start but i finally learned to let it go now i m right here and i m right now and i m hoping knowing somehow that my shadow days are over my shadow days are over now3,"[-0.205286905169487, -6.890147686004639, -5.282301425933838, -4.295501232147217, -1.2652995586395264, -2.0568056106567383, -5.837133407592773, -5.829904079437256, -1.9676415920257568, -2.058539628982544, -3.8416664600372314, -5.91171932220459, -6.513635158538818, -5.165267467498779, -4.956701755523682, -5.463504314422607, -4.895635604858398, -3.6218340396881104, -2.303499460220337, -4.967950820922852, -0.3152489960193634, -4.215457439422607, -3.650984764099121, -4.193186283111572, -4.797272682189941, -2.263838529586792, -6.416979789733887]"
